symbol,name,market,asset_type,kospi200
001067,JW중외제약2우B,KOSPI,STOCK,N
001070,KIWOOM 미국고배당&AI테크,KOSPI,STOCK,N
001080,만호제강,KOSPI,STOCK,N
001110,1Q 미국나스닥100미국채혼합50액티브,KOSPI,STOCK,N
001120,마이티 200TR,KOSPI,STOCK,N
001130,HK 머니마켓액티브,KOSPI,STOCK,N
001140,RISE 글로벌게임테크TOP3Plus,KOSPI,STOCK,N
001150,KODEX 코리아소버린AI,KOSPI,STOCK,N
001170,TIGER 코리아AI전력기기TOP3플러스,KOSPI,STOCK,N
001180,ACE 미국AI테크핵심산업액티브,KOSPI,STOCK,N
001190,KODEX 28-12 회사채(AA-이상)액티브,KOSPI,STOCK,N
001200,유진 챔피언중단기크레딧 X클래스,KOSPI,STOCK,N
001210,금호전기,KOSPI,STOCK,N
001220,RISE 26-11 회사채(AA-이상)액티브,KOSPI,STOCK,N
001230,HANARO 26-12 은행채(AA+이상)액티브,KOSPI,STOCK,N
001250,GS글로벌,KOSPI,STOCK,N
001260,삼성에피스홀딩스,KOSPI,STOCK,Y
001270,KIWOOM 미국S&P500 TOP10&배당다우비중전,KOSPI,STOCK,N
001275,부국증권우,KOSPI,STOCK,N
001280,PLUS 차이나항셍테크위클리타겟커버드콜,KOSPI,STOCK,N
001290,상상인증권,KOSPI,STOCK,N
001310,1Q 단기특수은행채액티브,KOSPI,STOCK,N
001320,PLUS 테슬라위클리커버드콜채권혼합,KOSPI,STOCK,N
001330,TIGER 차이나증권,KOSPI,STOCK,N
001340,PKC,KOSPI,STOCK,N
001350,ITF 중기종합채권(AA-이상)액티브,KOSPI,STOCK,N
001360,삼성제약,KOSPI,STOCK,N
001370,KIWOOM 미국S&P500&GOLD,KOSPI,STOCK,N
001380,PLUS 금채권혼합,KOSPI,STOCK,N
001390,ACE 고배당주,KOSPI,STOCK,N
001410,SOL 중기종합채권(AA-이상)액티브,KOSPI,STOCK,N
001420,TIGER 미국AI데이터센터TOP4Plus,KOSPI,STOCK,N
001430,세아베스틸지주,KOSPI,STOCK,Y
001440,KODEX 미국드론UAM TOP10,KOSPI,STOCK,N
001450,현대해상,KOSPI,STOCK,Y
001460,BYC,KOSPI,STOCK,N
001465,BYC우,KOSPI,STOCK,N
001470,삼부토건,KOSPI,STOCK,N
001480,TIGER 코리아휴머노이드로봇산업,KOSPI,STOCK,N
001500,KoAct 수소전력ESS인프라액티브,KOSPI,STOCK,N
001510,KODEX 미국AI반도체TOP3플러스,KOSPI,STOCK,N
001515,SK증권우,KOSPI,STOCK,N
001520,SOL 배당성향탑픽액티브,KOSPI,STOCK,N
001525,동양우,KOSPI,STOCK,N
001527,동양2우B,KOSPI,STOCK,N
001530,PLUS 미국고배당주액티브,KOSPI,STOCK,N
001540,KoAct 차이나바이오헬스케어액티브,KOSPI,STOCK,N
001550,HANARO K휴머노이드테마TOP10,KOSPI,STOCK,N
001560,제일연마,KOSPI,STOCK,N
001570,금양,KOSPI,STOCK,N
001620,RISE 삼성전자SK하이닉스채권혼합50,KOSPI,STOCK,N
001630,KoAct 코스닥액티브,KOSPI,STOCK,N
001640,RISE 차이나AI반도체TOP4Plus,KOSPI,STOCK,N
001680,대상,KOSPI,STOCK,Y
001685,대상우,KOSPI,STOCK,N
001720,신영증권,KOSPI,STOCK,Y
001740,SK네트웍스,KOSPI,STOCK,N
001750,한양증권,KOSPI,STOCK,N
001755,한양증권우,KOSPI,STOCK,N
001770,SHD,KOSPI,STOCK,N
001780,알루코,KOSPI,STOCK,N
001790,대한제당,KOSPI,STOCK,N
001795,대한제당우,KOSPI,STOCK,N
001800,오리온홀딩스,KOSPI,STOCK,Y
001820,삼화콘덴서,KOSPI,STOCK,N
001940,KISCO홀딩스,KOSPI,STOCK,N
002020,코오롱,KOSPI,STOCK,N
002025,코오롱우,KOSPI,STOCK,N
002030,아세아,KOSPI,STOCK,N
002070,비비안,KOSPI,STOCK,N
002100,경농,KOSPI,STOCK,N
002140,고려산업,KOSPI,STOCK,N
002150,도화엔지니어링,KOSPI,STOCK,N
002170,삼양통상,KOSPI,STOCK,N
002200,한국수출포장,KOSPI,STOCK,N
002210,동성제약,KOSPI,STOCK,N
002220,한일철강,KOSPI,STOCK,N
002240,고려제강,KOSPI,STOCK,N
002310,아세아제지,KOSPI,STOCK,N
002320,한진,KOSPI,STOCK,N
002350,넥센타이어,KOSPI,STOCK,N
002355,넥센타이어1우B,KOSPI,STOCK,N
002360,SH에너지화학,KOSPI,STOCK,N
002380,KCC,KOSPI,STOCK,Y
002390,한독,KOSPI,STOCK,N
002410,범양건영,KOSPI,STOCK,N
002420,세기상사,KOSPI,STOCK,N
002450,삼익악기,KOSPI,STOCK,N
002460,HS화성,KOSPI,STOCK,N
002600,조흥,KOSPI,STOCK,N
002620,제일파마홀딩스,KOSPI,STOCK,N
002630,오리엔트바이오,KOSPI,STOCK,N
002690,동일제강,KOSPI,STOCK,N
002700,신일전자,KOSPI,STOCK,N
002710,TCC스틸,KOSPI,STOCK,N
002720,국제약품,KOSPI,STOCK,N
002760,보락,KOSPI,STOCK,N
002780,진흥기업,KOSPI,STOCK,N
002785,진흥기업우B,KOSPI,STOCK,N
002787,진흥기업2우B,KOSPI,STOCK,N
002790,아모레퍼시픽홀딩스,KOSPI,STOCK,Y
002795,아모레퍼시픽홀딩스우,KOSPI,STOCK,N
